date,cluster0,cluster1,cluster13,cluster4,cluster3,cluster10,cluster24,cluster21,cluster18,cluster22,cluster15,cluster16,cluster14,cluster7,cluster23,cluster29,cluster5,cluster17,cluster26,cluster28,cluster6,cluster8,cluster2,cluster11,cluster27,cluster9,cluster19,cluster12,cluster25,cluster20
2013-01-06,26744,435,68,240292,898,103,26,5821,5607,539,3251,2896,170,3788,343,453,84,8,220,805,261,254,40,1052,1339,6,219,3184,7,24
2013-01-13,34932,417,74,305143,1564,134,40,8051,9228,365,2024,2162,222,4308,648,661,364,3,802,932,238,407,82,31,1567,4,288,3784,10,38
2013-01-20,40519,371,107,337544,2241,94,70,8846,11595,390,2378,2751,312,4463,501,604,363,5,161,906,342,502,73,46,2358,9,480,4802,49,67
2013-01-27,42195,422,124,345794,2546,135,107,10826,12741,325,16615,2678,272,6111,479,619,374,0,170,1612,327,438,99,42,2540,11,323,7221,10,84
2013-02-03,40750,392,84,326313,2375,141,76,10258,11487,2075,9707,2696,348,4699,390,684,406,5,110,986,327,470,96,39,2133,11,498,4195,17,61
2013-02-10,37537,1612,66,288830,2176,147,62,8616,10273,438,2427,2260,232,4256,480,712,537,1,72,821,288,296,66,38,1803,9,397,4663,8,39
2013-02-17,81632,468,188,570372,5052,274,122,18005,23646,558,4584,4891,627,7228,895,2822,722,4,202,1836,563,762,104,57,4113,12,691,15813,12,101
2013-02-24,99014,437,144,628217,7920,261,144,22034,29086,571,4229,5578,816,9391,1336,2791,909,4,258,1913,752,951,175,84,6299,8,923,6355,12,169
2013-03-03,115841,708,170,710019,6646,313,183,23844,33528,613,5168,6293,937,10852,1248,8804,944,13,261,2106,771,1341,132,62,7082,16,1282,8300,13,234
2013-03-10,108709,480,173,648574,7773,295,152,27031,29400,627,4610,5707,770,19439,1326,2504,859,12,308,2328,741,1020,276,211,6437,13,1051,5196,14,233
2013-03-17,118882,566,246,705594,6969,296,164,25188,31183,604,4238,6195,907,11163,1129,2206,1158,17,304,2405,717,974,162,60,6864,16,931,5938,7,239
2013-03-24,121385,655,1008,718387,7443,239,151,26455,34245,586,5262,6399,1015,10514,1475,2589,1409,16,531,2338,888,1496,221,73,7506,17,1057,6765,17,277
2013-03-31,106841,679,464,689844,7674,365,129,22813,30851,692,4560,5741,842,8561,1253,3040,1395,8,398,6609,950,1379,331,74,5384,14,1333,5764,18,242
2013-04-07,120894,559,362,716966,8882,264,145,27061,34374,873,5460,7113,1032,7841,1467,3310,1244,18,224,3420,3773,1134,212,92,6370,15,1088,5304,16,263
2013-04-14,123757,645,324,694652,8911,269,137,25509,33957,665,4686,7126,1443,7285,1596,5073,3307,10,210,2779,905,965,225,58,7258,11,1349,5355,23,214
2013-04-21,110361,408,265,625034,8597,270,269,27295,31743,650,4726,8551,1041,6247,5239,3697,1570,10,177,2273,807,1059,153,72,6274,5,982,6584,12,205
2013-04-28,120696,498,298,699810,9363,1097,239,27792,35864,721,5488,9785,1165,7201,2521,2838,994,15,157,2376,884,1417,214,50,8440,14,1108,5998,7,238
2013-05-05,116400,559,322,702670,7506,320,207,24239,34121,668,5164,7612,864,6226,1620,3029,1054,9,201,2187,839,1054,1171,50,7010,18,1726,6276,15,262
2013-05-12,113022,487,277,659516,7278,287,502,23713,32287,568,4563,7043,1011,5912,1774,2514,1139,16,179,1764,725,1027,237,51,8534,10,1185,5834,17,261
2013-05-19,77633,360,175,457090,5093,176,124,15539,24074,377,3414,4637,548,3617,754,1633,543,8,120,1239,549,574,151,28,4699,2,3574,3368,5,179
2013-05-26,60028,314,100,337419,3803,142,129,12398,17002,332,2138,3076,579,2923,696,1026,430,131,105,963,442,501,77,32,4104,7,493,2368,7,169
2013-06-02,61838,529,253,380517,3974,230,142,12892,19379,309,2445,3589,486,3430,941,1354,524,6,100,1083,496,1166,71,46,3609,8,711,3078,8,217
2013-06-09,63447,327,429,343610,5072,154,168,12602,19936,430,2083,3237,532,3283,951,1003,514,13,76,981,416,513,74,21,3571,4,553,3230,3,1068
2013-06-16,60699,479,131,341928,15760,165,118,18866,20238,439,2309,3574,494,3169,760,988,666,2,160,1198,594,496,68,43,3732,26,443,3362,14,227
2013-06-23,67032,608,175,402200,108075,202,100,53348,34064,472,4673,4051,1512,5621,991,1394,719,17,325,2618,1245,1045,68,43,5626,4,696,3251,8,156
2013-06-30,66857,900,223,387656,28025,164,111,25471,29436,348,2612,4275,4027,4246,825,1114,610,15,198,1533,566,740,110,54,5208,19,605,3068,5,154
2013-07-07,90136,675,169,566708,16471,282,108,23160,35790,586,4081,4821,2160,6047,983,1394,719,14,243,1682,620,1319,114,60,7461,4,800,3896,10,221
2013-07-14,77291,324,311,467575,10999,238,90,17488,25699,410,3063,4318,1292,5557,805,1064,548,14,330,1412,479,793,169,38,9492,3,826,3561,8,132
2013-07-21,54847,326,181,328493,6158,126,90,11140,16535,321,2173,2900,773,3462,752,878,407,2,113,1028,410,564,82,46,3796,5,424,2340,4,155
2013-07-28,54451,277,205,318021,6133,163,81,11435,15168,276,2354,2802,432,3073,555,976,362,9,112,1021,334,2776,83,36,3468,3,355,2503,4,89
2013-08-04,53405,261,282,312979,4701,124,132,10378,15169,260,2162,2707,440,2840,792,956,350,6,103,999,352,977,67,48,4845,2,564,2213,9,80
2013-08-11,38520,184,75,212094,3285,105,64,7779,11196,262,1553,1911,427,1939,580,586,415,4,94,658,290,393,46,60,2537,6,371,1665,4,102
2013-08-18,33765,232,59,183156,3118,122,41,7021,10247,204,1222,1738,299,1845,404,591,191,3,96,573,247,315,134,30,2467,6,328,1381,1,65
2013-08-25,49506,301,131,266243,3758,191,107,9797,14294,291,1922,2617,496,2610,559,910,323,11,91,771,318,489,39,13,6156,125,353,2027,3,111
2013-09-01,71238,444,276,373399,6490,173,155,14225,22376,363,2677,3768,658,3623,719,1613,440,6,145,1364,493,636,77,24,12187,12,610,2881,5,111
2013-09-08,61454,334,89,330358,7522,170,108,13961,17520,386,2327,3628,506,3209,743,1249,432,8,129,1421,574,666,84,30,8916,28,540,3804,10,127
2013-09-15,73333,595,178,392209,5268,196,113,14558,20753,310,2808,4166,622,4012,851,1342,364,9,189,1634,469,523,229,33,8158,11,801,3164,4,188
2013-09-22,78232,310,283,413199,5004,204,74,14914,19931,345,2621,4394,540,3941,761,1316,319,5,166,1391,440,669,75,37,8492,6,812,3268,13,196
2013-09-29,64568,345,236,338021,4516,140,61,12914,17715,322,2331,3438,502,3076,717,1023,415,6,228,1009,401,698,123,23,4417,1,541,2478,9,91
