date,Employment,Housing,Energy and Resources,Other Economic,Other Government,Other
2013-11-10,0.0,0.0,1.0,0.0,0.0,0.0
2013-11-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-12,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-13,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-14,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-15,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-16,0.0,0.0,0.0,0.0,1.0,0.0
2013-11-17,0.0,0.0,0.0,0.0,1.0,0.0
2013-11-18,0.0,0.0,0.0,0.0,2.0,0.0
2013-11-19,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-20,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-21,1.0,0.0,0.0,0.0,0.0,0.0
2013-11-22,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-23,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-24,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-25,1.0,0.0,0.0,0.0,0.0,1.0
2013-11-26,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-27,0.0,0.0,0.0,1.0,0.0,0.0
2013-11-28,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-29,0.0,1.0,0.0,0.0,0.0,0.0
2013-11-30,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-02,0.0,0.0,1.0,0.0,0.0,2.0
2013-12-03,1.0,0.0,0.0,0.0,1.0,0.0
2013-12-04,1.0,0.0,0.0,0.0,0.0,0.0
2013-12-05,1.0,0.0,0.0,0.0,1.0,0.0
2013-12-06,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-07,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-08,0.0,0.0,0.0,0.0,1.0,0.0
2013-12-09,1.0,0.0,3.0,0.0,0.0,0.0
2013-12-10,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-11,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-12,2.0,0.0,0.0,0.0,0.0,0.0
2013-12-13,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-14,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-15,0.0,0.0,1.0,0.0,29.0,0.0
2013-12-16,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-17,1.0,0.0,0.0,0.0,0.0,0.0
2013-12-18,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-19,1.0,0.0,0.0,1.0,0.0,0.0
2013-12-20,0.0,1.0,0.0,0.0,0.0,0.0
2013-12-21,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-22,0.0,0.0,0.0,0.0,0.0,1.0
2013-12-23,1.0,0.0,0.0,0.0,0.0,0.0
2013-12-24,0.0,0.0,0.0,0.0,1.0,0.0
2013-12-25,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-26,1.0,0.0,0.0,0.0,1.0,0.0
2013-12-27,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-28,0.0,0.0,1.0,0.0,0.0,0.0
2013-12-29,0.0,0.0,0.0,0.0,1.0,0.0
2013-12-30,1.0,0.0,0.0,0.0,1.0,0.0
2013-12-31,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-02,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-03,1.0,0.0,0.0,0.0,0.0,0.0
2014-01-04,0.0,1.0,0.0,0.0,0.0,0.0
2014-01-05,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-06,0.0,0.0,0.0,0.0,1.0,0.0
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-08,0.0,0.0,0.0,0.0,1.0,0.0
2014-01-09,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-10,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-11,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-12,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-13,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-14,0.0,0.0,0.0,0.0,0.0,2.0
2014-01-15,0.0,0.0,0.0,0.0,0.0,0.0
