,cluster3,cluster2,cluster6,cluster12,cluster8,cluster7,cluster28,cluster13,cluster4,cluster10,cluster18,cluster20,cluster11,cluster26,cluster21,cluster29,cluster15,cluster1,cluster27,cluster14,cluster24,cluster19,cluster25,cluster9,cluster5,cluster17,cluster0,cluster23,cluster16,cluster22
2013-11-10,46.0,31.0,21.0,5.0,11.0,172.0,14.0,1950.0,35.0,4.0,19.0,79.0,8.0,71.0,7.0,15.0,2.0,7.0,15.0,12.0,5.0,46.0,83.0,6.0,154.0,12.0,3.0,13.0,0.0,0.0
2013-11-11,97.0,32.0,94.0,34.0,39.0,357.0,95.0,3656.0,72.0,3.0,36.0,215.0,22.0,243.0,8.0,25.0,16.0,18.0,45.0,5.0,19.0,127.0,163.0,27.0,289.0,22.0,17.0,47.0,0.0,0.0
2013-11-12,120.0,32.0,58.0,18.0,49.0,404.0,27.0,3560.0,80.0,4.0,38.0,257.0,26.0,294.0,12.0,23.0,6.0,36.0,43.0,14.0,13.0,113.0,168.0,15.0,441.0,37.0,18.0,41.0,0.0,0.0
2013-11-13,124.0,23.0,57.0,11.0,124.0,359.0,10.0,3425.0,86.0,37.0,42.0,223.0,19.0,269.0,30.0,20.0,2.0,16.0,71.0,26.0,15.0,86.0,140.0,19.0,769.0,18.0,20.0,30.0,1.0,0.0
2013-11-14,72.0,17.0,71.0,8.0,60.0,301.0,24.0,2654.0,90.0,2.0,37.0,191.0,14.0,223.0,6.0,22.0,8.0,10.0,25.0,10.0,14.0,67.0,122.0,16.0,246.0,33.0,9.0,15.0,2.0,0.0
2013-11-15,90.0,21.0,68.0,11.0,39.0,377.0,44.0,3409.0,53.0,7.0,40.0,230.0,5.0,228.0,11.0,25.0,7.0,27.0,38.0,18.0,3.0,90.0,198.0,15.0,309.0,25.0,15.0,23.0,0.0,0.0
2013-11-16,143.0,11.0,82.0,10.0,69.0,381.0,20.0,5065.0,60.0,4.0,43.0,244.0,18.0,216.0,13.0,34.0,4.0,10.0,52.0,27.0,8.0,175.0,145.0,21.0,666.0,20.0,265.0,21.0,0.0,0.0
2013-11-17,121.0,28.0,81.0,37.0,90.0,450.0,25.0,4755.0,59.0,1.0,54.0,255.0,4.0,204.0,9.0,29.0,5.0,12.0,57.0,34.0,19.0,181.0,169.0,23.0,532.0,13.0,27.0,22.0,2.0,0.0
2013-11-18,116.0,25.0,79.0,8.0,65.0,371.0,21.0,4250.0,58.0,7.0,47.0,276.0,8.0,235.0,16.0,21.0,363.0,15.0,47.0,7.0,21.0,111.0,152.0,12.0,393.0,21.0,16.0,25.0,3.0,0.0
2013-11-19,112.0,21.0,65.0,14.0,47.0,310.0,47.0,4437.0,100.0,1.0,37.0,281.0,30.0,293.0,14.0,50.0,24.0,17.0,40.0,21.0,16.0,62.0,145.0,27.0,396.0,27.0,21.0,25.0,1.0,0.0
2013-11-20,123.0,14.0,69.0,21.0,65.0,482.0,11.0,5015.0,97.0,13.0,48.0,272.0,16.0,332.0,12.0,54.0,10.0,32.0,45.0,22.0,12.0,132.0,252.0,50.0,816.0,22.0,18.0,24.0,4.0,0.0
2013-11-21,15.0,1.0,134.0,3.0,10.0,109.0,0.0,684.0,9.0,2.0,2.0,29.0,4.0,16.0,1.0,2.0,4.0,3.0,6.0,0.0,1.0,15.0,24.0,0.0,82.0,0.0,4.0,0.0,0.0,0.0
2013-11-22,128.0,19.0,432.0,12.0,75.0,457.0,30.0,5744.0,124.0,5.0,63.0,282.0,24.0,289.0,15.0,37.0,22.0,68.0,54.0,22.0,10.0,160.0,218.0,46.0,522.0,25.0,7.0,42.0,3.0,0.0
