date,Employment,Housing,Energy and Resources,Other Economic,Other Government,Other
2014-01-01,0.0,0.0,1.0,0.0,0.0,0.0
2014-01-02,0.0,0.0,2.0,0.0,0.0,0.0
2014-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-04,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-05,0.0,0.0,0.0,0.0,2.0,0.0
2014-01-06,0.0,0.0,1.0,0.0,1.0,0.0
2014-01-07,1.0,0.0,0.0,0.0,1.0,1.0
2014-01-08,0.0,0.0,1.0,0.0,4.0,1.0
2014-01-09,0.0,0.0,1.0,0.0,1.0,0.0
2014-01-10,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-11,0.0,0.0,0.0,0.0,2.0,0.0
2014-01-12,0.0,0.0,0.0,0.0,0.0,1.0
2014-01-13,1.0,0.0,1.0,0.0,2.0,0.0
2014-01-14,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-15,1.0,0.0,0.0,0.0,1.0,0.0
2014-01-16,0.0,0.0,0.0,0.0,0.0,1.0
2014-01-17,0.0,0.0,0.0,0.0,3.0,0.0
2014-01-18,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-19,0.0,0.0,0.0,0.0,1.0,0.0
2014-01-20,1.0,0.0,1.0,0.0,2.0,1.0
2014-01-21,1.0,0.0,0.0,0.0,0.0,1.0
2014-01-22,0.0,0.0,0.0,0.0,0.0,1.0
2014-01-23,1.0,0.0,0.0,0.0,4.0,0.0
2014-01-24,1.0,0.0,0.0,0.0,2.0,2.0
2014-01-25,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-26,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-27,3.0,0.0,0.0,1.0,2.0,0.0
2014-01-28,2.0,0.0,0.0,0.0,2.0,0.0
2014-01-29,3.0,0.0,0.0,6.0,1.0,0.0
2014-01-30,3.0,0.0,0.0,0.0,0.0,0.0
2014-01-31,0.0,0.0,1.0,0.0,1.0,3.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-02,0.0,0.0,0.0,0.0,14.0,0.0
2014-02-03,2.0,0.0,1.0,7.0,1.0,0.0
2014-02-04,0.0,0.0,0.0,0.0,3.0,2.0
2014-02-05,1.0,0.0,1.0,1.0,4.0,0.0
2014-02-06,0.0,0.0,0.0,1.0,5.0,0.0
2014-02-07,0.0,0.0,1.0,1.0,6.0,0.0
2014-02-08,0.0,0.0,0.0,0.0,3.0,2.0
2014-02-09,0.0,0.0,0.0,0.0,4.0,0.0
2014-02-10,0.0,0.0,0.0,0.0,12.0,0.0
2014-02-11,1.0,0.0,0.0,5.0,4.0,0.0
2014-02-12,0.0,0.0,0.0,0.0,27.0,0.0
2014-02-13,0.0,0.0,1.0,0.0,25.0,1.0
2014-02-14,0.0,0.0,0.0,0.0,14.0,0.0
2014-02-15,0.0,0.0,0.0,0.0,17.0,0.0
2014-02-16,0.0,0.0,0.0,0.0,20.0,0.0
2014-02-17,2.0,0.0,0.0,0.0,21.0,4.0
2014-02-18,1.0,0.0,0.0,0.0,26.0,0.0
2014-02-19,0.0,0.0,0.0,0.0,32.0,2.0
2014-02-20,0.0,0.0,0.0,0.0,13.0,2.0
2014-02-21,0.0,0.0,1.0,0.0,20.0,1.0
2014-02-22,0.0,0.0,1.0,0.0,36.0,0.0
2014-02-23,0.0,0.0,0.0,0.0,11.0,0.0
2014-02-24,0.0,0.0,0.0,0.0,24.0,2.0
2014-02-25,0.0,0.0,1.0,0.0,5.0,2.0
2014-02-26,0.0,0.0,1.0,0.0,16.0,1.0
2014-02-27,0.0,0.0,3.0,0.0,11.0,2.0
2014-02-28,1.0,0.0,3.0,0.0,14.0,0.0
2014-03-01,0.0,0.0,1.0,0.0,23.0,1.0
