,cluster28,cluster2,cluster12,cluster24,cluster3,cluster19,cluster17,cluster1,cluster27,cluster10,cluster29,cluster7,cluster16,cluster15,cluster9,cluster8,cluster18,cluster6,cluster4,cluster11,cluster23,cluster22,cluster14,cluster5,cluster20,cluster13,cluster26,cluster0,cluster25,cluster21
2014-01-01,286.0,105.0,6481.0,4779.0,576.0,1569.0,119.0,371.0,745.0,11878.0,89.0,234.0,154.0,386.0,2413.0,9499.0,726.0,77.0,2323.0,1588.0,0.0,1.0,0.0,4052.0,84.0,299.0,213.0,8.0,1.0,0.0
2014-01-02,57.0,11.0,1038.0,660.0,96.0,213.0,7.0,69.0,150.0,1658.0,17.0,43.0,20.0,93.0,668.0,1525.0,130.0,3.0,482.0,288.0,0.0,0.0,0.0,626.0,30.0,52.0,31.0,1.0,3.0,0.0
2014-01-03,493.0,106.0,9199.0,5677.0,1004.0,2269.0,191.0,800.0,1291.0,15226.0,178.0,325.0,267.0,877.0,5609.0,16057.0,1687.0,113.0,3671.0,2164.0,0.0,7.0,0.0,4890.0,153.0,409.0,424.0,6.0,18.0,4.0
2014-01-04,437.0,319.0,8182.0,4721.0,825.0,1971.0,248.0,1463.0,1318.0,12631.0,114.0,304.0,221.0,591.0,4512.0,12750.0,1300.0,183.0,2436.0,1614.0,0.0,5.0,1.0,4044.0,107.0,247.0,408.0,0.0,4.0,0.0
2014-01-05,479.0,944.0,6906.0,4735.0,832.0,2364.0,253.0,2307.0,1409.0,12561.0,92.0,334.0,206.0,638.0,3687.0,15088.0,1251.0,228.0,2690.0,1835.0,2.0,8.0,0.0,4868.0,103.0,553.0,339.0,1.0,7.0,1.0
2014-01-06,448.0,1254.0,8903.0,6791.0,1145.0,2989.0,328.0,1054.0,1425.0,14753.0,696.0,472.0,289.0,682.0,4280.0,14865.0,1604.0,130.0,3536.0,1925.0,2.0,13.0,0.0,5024.0,150.0,504.0,370.0,2.0,37.0,9.0
2014-01-07,522.0,1037.0,24806.0,20827.0,1977.0,4775.0,312.0,1650.0,2995.0,32460.0,915.0,498.0,263.0,2108.0,5492.0,21937.0,1509.0,173.0,8224.0,2801.0,0.0,5.0,1.0,6993.0,373.0,467.0,451.0,2.0,17.0,5.0
2014-01-08,1056.0,522.0,22573.0,16461.0,2208.0,4023.0,312.0,1726.0,2980.0,28449.0,437.0,433.0,316.0,1697.0,5591.0,22777.0,1643.0,241.0,7222.0,3558.0,4.0,2.0,0.0,6350.0,168.0,414.0,499.0,3.0,32.0,0.0
2014-01-09,326.0,141.0,9973.0,6108.0,1189.0,2071.0,254.0,799.0,1488.0,13366.0,189.0,243.0,195.0,1362.0,4185.0,11235.0,944.0,199.0,2817.0,1411.0,0.0,6.0,0.0,3290.0,84.0,188.0,384.0,17.0,16.0,0.0
2014-01-10,804.0,203.0,17166.0,13028.0,2142.0,3843.0,597.0,1614.0,2266.0,24383.0,300.0,386.0,542.0,2653.0,7948.0,22682.0,1801.0,405.0,4759.0,2669.0,1.0,18.0,1.0,6815.0,173.0,660.0,644.0,4.0,34.0,0.0
2014-01-11,620.0,156.0,13367.0,10023.0,1838.0,2931.0,308.0,1056.0,1697.0,18195.0,176.0,406.0,475.0,1387.0,5324.0,18720.0,1507.0,153.0,3802.0,2512.0,1.0,27.0,0.0,5967.0,158.0,546.0,464.0,3.0,20.0,3.0
2014-01-12,460.0,152.0,12082.0,9244.0,1570.0,2644.0,380.0,967.0,1700.0,17780.0,216.0,474.0,417.0,1588.0,5663.0,18748.0,1536.0,206.0,3977.0,2468.0,0.0,10.0,0.0,6377.0,142.0,605.0,589.0,4.0,10.0,2.0
2014-01-13,654.0,150.0,11499.0,10442.0,1765.0,3054.0,403.0,1216.0,1931.0,19437.0,219.0,401.0,580.0,1429.0,4853.0,18712.0,2545.0,297.0,4252.0,2740.0,0.0,6.0,0.0,5785.0,205.0,430.0,502.0,18.0,15.0,1.0
