Time,S0,S1,S2,S3,S4
0,492,780,212,356,877
1,496,779,214,351,872
2,479,767,217,362,848
3,476,778,234,323,866
4,490,797,194,352,864
5,467,820,195,361,869
6,467,234,218,342,872
7,440,272,213,363,846
8,456,239,193,379,784
9,450,239,183,361,811
10,466,193,193,372,867
11,456,207,200,401,791
12,416,217,189,381,796
13,455,224,183,393,825
14,505,239,190,366,837
15,451,229,197,390,838
16,458,240,185,395,802
17,445,242,171,416,795
18,491,263,197,371,796
19,447,230,195,425,791
20,474,244,186,376,800
21,458,235,196,394,804
22,462,245,161,375,780
23,472,206,170,350,783
24,448,207,930,376,733
25,462,221,910,372,748
26,485,221,862,465,761
27,433,239,860,453,729
28,438,201,843,432,748
29,428,219,851,429,756
30,453,245,789,419,774
31,448,209,804,415,731
32,402,214,862,416,737
33,438,202,820,408,752
34,404,229,779,388,718
35,423,204,821,421,708
36,439,209,796,373,718
37,412,190,783,406,716
38,436,192,869,385,714
39,456,183,807,398,714
40,446,211,834,409,667
41,412,219,780,398,782
42,345,206,803,390,700
43,433,206,790,389,717
44,412,234,821,363,731
45,420,183,770,388,693
46,409,221,826,410,621
47,389,190,735,387,767
48,432,195,747,374,770
49,418,200,744,373,770
50,417,181,728,350,750
51,398,204,665,375,785
52,398,207,723,398,732
53,374,200,734,396,754
54,404,186,754,382,766
55,411,180,709,358,767
56,383,201,703,374,713
57,404,189,772,406,687
58,395,178,696,383,716
59,378,200,735,372,678
60,372,175,741,367,718
61,393,194,748,385,726
62,382,151,748,365,696
63,350,205,687,405,705
64,398,199,706,386,707
65,364,193,700,360,697
66,385,151,635,358,678
67,396,173,630,381,671
68,377,182,690,347,686
69,359,177,697,353,713
70,375,192,706,388,672
71,360,176,690,384,681
72,352,185,676,352,662
73,358,180,736,388,687
74,379,179,715,364,659
75,349,186,687,366,701
76,357,159,706,404,670
77,384,186,745,373,682
78,352,159,715,374,683
79,351,178,705,342,689
80,323,177,657,292,698
81,354,193,694,360,671
82,376,170,695,340,700
83,379,165,687,367,681
84,368,172,698,368,673
85,401,167,661,337,725
86,344,157,715,328,665
87,354,163,675,328,682
88,368,161,669,318,653
89,367,154,635,323,648
90,379,159,662,380,626
91,371,157,640,307,631
92,388,168,662,325,617
93,361,167,712,323,651
94,388,167,662,324,651
95,360,153,641,321,602
96,326,166,632,331,665
97,337,159,673,306,593
98,334,145,641,354,656
99,336,157,672,349,648
100,352,149,659,295,598
101,387,152,633,336,616
102,364,166,655,342,626
103,335,157,677,309,644
104,289,146,657,293,619
105,351,144,629,329,613
106,337,164,619,273,630
107,323,128,657,304,596
108,330,170,606,306,545
109,314,157,670,333,608
110,349,150,684,283,592
111,339,142,677,290,575
112,362,147,674,311,641
113,324,130,659,296,590
114,353,149,654,331,574
115,341,164,686,335,567
116,313,143,674,306,579
117,339,143,664,304,611
118,319,136,640,333,567
119,354,136,688,292,586
120,333,146,697,330,579
121,304,148,686,319,592
122,307,117,736,313,576
123,303,152,729,321,544
124,306,117,653,296,575
125,341,143,701,303,545
126,330,141,700,319,563
127,357,125,725,325,595
128,325,137,719,318,551
129,307,157,700,296,544
130,326,134,730,295,550
131,310,151,687,310,529
132,316,125,629,366,542
133,337,128,645,312,542
134,291,135,625,320,526
135,316,116,688,323,505
136,299,129,660,299,538
137,298,113,680,302,544
138,308,108,653,320,563
139,298,142,669,334,473
140,295,160,661,301,469
141,272,123,683,331,504
142,269,123,734,324,504
143,267,111,683,310,519
144,297,118,639,311,454
145,279,123,651,284,534
146,290,122,624,344,493
147,272,133,645,326,456
148,303,111,634,280,478
149,296,112,675,267,467
150,303,122,634,232,451
151,276,122,643,296,443
152,309,115,669,276,432
153,298,113,697,277,454
154,317,114,694,281,447
155,276,108,648,275,469
156,294,109,653,243,486
157,309,108,637,248,477
158,264,92,653,276,469
159,289,148,648,251,502
160,294,101,643,242,430
161,267,118,653,255,478
162,255,102,588,291,462
163,233,99,610,256,455
164,239,135,570,244,398
165,222,119,620,265,434
166,215,103,607,270,443
167,185,119,587,269,485
168,225,110,574,260,437
169,226,120,536,268,453
170,217,132,567,255,436
171,220,115,561,270,480
172,246,108,552,228,486
173,220,127,578,252,466
174,243,121,538,228,435
175,238,112,537,238,408
176,231,122,558,278,415
177,256,108,503,241,413
178,218,110,526,252,416
179,242,114,546,224,408
180,214,88,543,206,378
181,236,100,553,230,430
182,217,101,544,233,428
183,214,111,542,212,408
184,239,106,530,222,431
185,243,105,502,189,399
186,265,96,530,233,426
187,212,104,509,230,449
188,228,108,502,197,375
189,206,107,468,222,406
190,159,87,502,217,390
191,205,97,481,230,405
192,189,84,469,210,413
193,216,107,481,239,443
194,241,93,480,226,415
195,200,102,485,241,392
196,186,104,452,227,388
197,207,98,518,205,372
198,215,114,448,216,360
199,178,97,461,230,431
